Degrees Rotated Since Beginning,Degrees Rotated Per Second
0,0
0,0
0,0
0,1
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,4
2,12
19,32
26,0
26,1
26,1
28,0
28,0
28,0
29,2
30,21
44,31
50,0
52,2
53,0
52,0
53,0
55,21
72,24
73,0
73,0
73,0
75,31
90,0
89,0
89,-1
89,7
104,41
117,0
117,0
117,1
119,21
133,21
138,0
138,1
138,0
138,-2
136,19
149,5
150,0
150,0
166,48
181,0
181,-5
180,0
183,24
199,35
208,0
209,4
210,12
224,15
225,0
225,-2
227,22
241,19
244,0
244,0
244,2
261,41
266,0
267,1
267,1
282,45
292,0
293,0
296,29
314,15
315,0
315,1
329,61
336,0
336,0
345,35
356,-15
356,0
356,-5
357,2
358,1
359,2
360,0
360,0
360,0
360,1
360,0
